Model,Accuracy,Precision,Recall,F1,ROC_AUC,Test_Rows
Large Cap,0.6321,0.413,0.0056,0.0111,0.5256,9225
Mid Cap,0.5988,0.4286,0.0056,0.011,0.5208,9430
Small Cap,0.6259,0.5,0.016,0.0311,0.5422,7995
Universal,0.6192,0.5169,0.0091,0.0178,0.5355,26650
